Released,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Domestic Box Office,Infl. Adj. Dom. Box Office,Worldwide Box Office
26-Apr-19,Avengers: Endgame,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,"$400,000,000 ","$858,373,000 ","$858,373,002 ","$2,797,800,564 "
19-Jul-19,The Lion King,Walt Disney,Adventure,Remake,Animation/Live Action,Kids Fiction,"$260,000,000 ","$543,638,043 ","$543,638,043 ","$1,654,367,425 "
20-Dec-19,Star Wars: The Rise of Skywalker,Walt Disney,Adventure,Original Screenplay,Animation/Live Action,Science Fiction,"$275,000,000 ","$515,202,542 ","$515,202,542 ","$1,072,848,487 "
22-Nov-19,Frozen II,Walt Disney,Adventure,Based on Folk Tale/Legend/Fairytale,Digital Animation,Kids Fiction,"$150,000,000 ","$477,373,578 ","$477,373,578 ","$1,445,182,280 "
21-Jun-19,Toy Story 4,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$200,000,000 ","$434,038,008 ","$434,038,008 ","$1,073,080,329 "
8-Mar-19,Captain Marvel,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,"$175,000,000 ","$426,829,839 ","$426,829,839 ","$1,129,727,388 "
2-Jul-19,Spider-Man: Far From Home,Sony Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$160,000,000 ","$390,532,085 ","$390,532,085 ","$1,132,532,832 "
24-May-19,Aladdin,Walt Disney,Adventure,Remake,Animation/Live Action,Fantasy,"$182,000,000 ","$355,559,216 ","$355,559,216 ","$1,046,649,706 "
4-Oct-19,Joker,Warner Bros.,Thriller/Suspense,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,"$55,000,000 ","$335,451,311 ","$335,451,311 ","$1,072,507,517 "
13-Dec-19,Jumanji: The Next Level,Sony Pictures,Adventure,Original Screenplay,Live Action,Science Fiction,"$125,000,000 ","$316,831,246 ","$316,831,246 ","$798,332,900 "
6-Sep-19,It: Chapter Two,Warner Bros.,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$70,000,000 ","$211,593,228 ","$211,593,228 ","$469,566,806 "
22-Mar-19,Us,Universal,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000 ","$175,084,580 ","$175,084,580 ","$256,091,919 "
2-Aug-19,Fast & Furious Presents: Hobbs & Shaw,Universal,Action,Spin-Off,Live Action,Contemporary Fiction,"$200,000,000 ","$173,956,935 ","$173,956,937 ","$760,381,706 "
17-May-19,John Wick: Chapter 3 — Parabellum,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000 ","$171,016,727 ","$171,016,727 ","$325,674,995 "
27-Nov-19,Knives Out,Lionsgate,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000 ","$165,364,060 ","$165,364,060 ","$312,952,178 "
22-Feb-19,How to Train Your Dragon: The Hidden …,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$129,000,000 ","$160,799,505 ","$160,799,505 ","$522,747,474 "
25-Dec-19,1917,Universal,Thriller/Suspense,Original Screenplay,Live Action,Historical Fiction,"$100,000,000 ","$159,227,644 ","$159,227,644 ","$370,603,379 "
7-Jun-19,The Secret Life of Pets 2,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$80,000,000 ","$158,874,395 ","$158,874,395 ","$446,275,938 "
10-May-19,Pokémon: Detective Pikachu,Warner Bros.,Adventure,Based on Game,Animation/Live Action,Kids Fiction,"$150,000,000 ","$144,105,346 ","$144,105,349 ","$431,482,976 "
26-Jul-19,Once Upon a Time…in Hollywood,Sony Pictures,Thriller/Suspense,Based on Real Life Events,Live Action,Dramatization,"$90,000,000 ","$142,502,728 ","$142,502,728 ","$377,562,039 "
5-Apr-19,Shazam!,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$85,000,000 ","$140,371,656 ","$140,371,660 ","$363,664,533 "
15-Nov-19,Ford v. Ferrari,20th Century Fox,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$97,600,000 ","$117,624,357 ","$117,624,357 ","$224,418,748 "
29-Mar-19,Dumbo,Walt Disney,Adventure,Remake,Animation/Live Action,Kids Fiction,"$170,000,000 ","$114,766,307 ","$114,766,309 ","$353,166,307 "
18-Oct-19,Maleficent: Mistress of Evil,Walt Disney,Adventure,Original Screenplay,Live Action,Fantasy,"$185,000,000 ","$113,929,605 ","$113,929,605 ","$489,346,495 "
18-Jan-19,Glass,Universal,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000 ","$111,048,468 ","$111,048,468 ","$246,999,039 "
31-May-19,Godzilla: King of the Monsters,Warner Bros.,Action,Original Screenplay,Live Action,Science Fiction,"$170,000,000 ","$110,500,138 ","$110,500,139 ","$383,299,915 "
11-Jan-19,The Upside,STX Entertainment,Comedy,Based on Movie,Live Action,Dramatization,"$37,500,000 ","$108,235,497 ","$108,235,497 ","$125,818,440 "
25-Dec-19,Little Women,Sony Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$42,000,000 ","$108,095,955 ","$108,095,955 ","$218,895,434 "
8-Feb-19,The LEGO Movie 2: The Second Part,Warner Bros.,Adventure,Based on Toy,Digital Animation,Kids Fiction,"$99,000,000 ","$105,806,508 ","$105,806,510 ","$190,131,036 "
13-Sep-19,Hustlers,STX Entertainment,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$20,700,000 ","$104,963,598 ","$104,963,598 ","$150,472,713 "
11-Oct-19,The Addams Family,United Artists,Adventure,Based on TV,Digital Animation,Kids Fiction,"$24,000,000 ","$97,864,733 ","$97,864,733 ","$200,612,027 "
20-Sep-19,Downton Abbey,Focus Features,Drama,Based on TV,Live Action,Historical Fiction,$0 ,"$96,853,865 ","$96,853,865 ","$194,694,724 "
31-May-19,Rocketman,Paramount Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,"$41,000,000 ","$96,368,160 ","$96,368,160 ","$192,137,020 "
14-Feb-19,Alita: Battle Angel,20th Century Fox,Action,Based on Comic/Graphic Novel,Animation/Live Action,Science Fiction,"$170,000,000 ","$85,838,210 ","$85,838,210 ","$401,900,040 "
16-Aug-19,Good Boys,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000 ","$83,140,306 ","$83,140,309 ","$111,173,598 "
14-Jun-19,Men in Black: International,Sony Pictures,Adventure,Based on Comic/Graphic Novel,Animation/Live Action,Science Fiction,"$110,000,000 ","$80,001,807 ","$80,001,807 ","$253,020,464 "
26-Jun-19,Annabelle Comes Home,Warner Bros.,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$27,000,000 ","$74,152,591 ","$74,152,591 ","$231,252,591 "
28-Jun-19,Yesterday,Universal,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"$73,286,650 ","$73,286,650 ","$154,718,020 "
1-Mar-19,Tyler Perry’s A Madea Family Funeral,Lionsgate,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000 ","$73,257,045 ","$73,257,045 ","$74,781,999 "
18-Oct-19,Zombieland: Double Tap,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$48,000,000 ","$73,118,130 ","$73,118,130 ","$122,266,018 "
23-Aug-19,Angel Has Fallen,Lionsgate,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000 ","$69,030,436 ","$69,030,436 ","$133,365,452 "
9-Aug-19,Scary Stories to Tell in the Dark,Lionsgate,Horror,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$28,000,000 ","$68,947,075 ","$68,947,075 ","$95,607,360 "
