Released,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Domestic Box Office,Infl. Adj. Dom. Box Office,Worldwide Box Office,RottenTomatoesID
26-Apr-19,Avengers: Endgame,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,400000000,858373000,858373002,2797800564,m/avengers_endgame
19-Jul-19,The Lion King,Walt Disney,Adventure,Remake,Animation/Live Action,Kids Fiction,260000000,543638043,543638043,1654367425,m/the_lion_king
20-Dec-19,Star Wars: The Rise of Skywalker,Walt Disney,Adventure,Original Screenplay,Animation/Live Action,Science Fiction,275000000,515202542,515202542,1072848487,m/star_wars_the_rise_of_skywalker
22-Nov-19,Frozen II,Walt Disney,Adventure,Based on Folk Tale/Legend/Fairytale,Digital Animation,Kids Fiction,150000000,477373578,477373578,1445182280,m/frozen_ii
21-Jun-19,Toy Story 4,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000,434038008,434038008,1073080329,m/toy_story_4
8-Mar-19,Captain Marvel,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,175000000,426829839,426829839,1129727388,m/captain_marvel
2-Jul-19,Spider-Man: Far From Home,Sony Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,160000000,390532085,390532085,1132532832,m/spider_man_far_from_home
24-May-19,Aladdin,Walt Disney,Adventure,Remake,Animation/Live Action,Fantasy,182000000,355559216,355559216,1046649706,m/aladdin
4-Oct-19,Joker,Warner Bros.,Thriller/Suspense,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,55000000,335451311,335451311,1072507517,m/joker_2019
13-Dec-19,Jumanji: The Next Level,Sony Pictures,Adventure,Original Screenplay,Live Action,Science Fiction,125000000,316831246,316831246,798332900,m/jumanji_the_next_level
15-Jan-16,13 Hours: The Secret Soldiers of Beng…,Paramount Pictures,Thriller/Suspense,Based on Factual Book/Article,Live Action,Dramatization,50000000,52853219,55969414,69411370,m/captain_underpants_the_first_epic_movie
22-Mar-19,Us,Universal,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,20000000,175084580,175084580,256091919,m/us_2019
2-Aug-19,Fast & Furious Presents: Hobbs & Shaw,Universal,Action,Spin-Off,Live Action,Contemporary Fiction,200000000,173956935,173956937,760381706,m/fast_and_furious_presents_hobbs_and_shaw
13-Jul-12,2016: Obama’s America,Rocky Mountain Pictures,Documentary,Based on Factual Book/Article,Live Action,Factual,2500000,33349941,38377570,33349941,m/2016_obamas_america
27-Nov-19,Knives Out,Lionsgate,Drama,Original Screenplay,Live Action,Contemporary Fiction,40000000,165364060,165364060,312952178,m/knives_out
22-Nov-19,21 Bridges,STX Entertainment,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,33000000,28539757,28539757,42663460,No
25-Dec-19,1917,Universal,Thriller/Suspense,Original Screenplay,Live Action,Historical Fiction,100000000,159227644,159227644,370603379,m/1917_2019
7-Jun-19,The Secret Life of Pets 2,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,80000000,158874395,158874395,446275938,m/the_secret_life_of_pets_2
22-Nov-19,A Beautiful Day in the Neighborhood,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Dramatization,45000000,61696436,61696436,68550222,No
17-May-19,A Dog’s Journey,Universal,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,16000000,22782371,22782371,78870908,m/a_dogs_journey
5-Apr-19,Shazam!,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,85000000,140371656,140371660,363664533,m/shazam
27-Jan-17,A Dog’s Purpose,Universal,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,25000000,64321890,65684336,203055427,m/a_dogs_purpose
29-Mar-19,Dumbo,Walt Disney,Adventure,Remake,Animation/Live Action,Kids Fiction,170000000,114766307,114766309,353166307,m/dumbo
